| Período    | Tipo        | Grupo Optativa | Código   | Disciplina                                                                 | Carga Horária (h) |
| 7º Período | Optativa    | [413]          | OPELSO   | Laboratório De Sistemas Operacionais                                       |                60 |
| 7º Período | Optativa    | [413]          | OPEPDI   | Processamento Digital De Imagens                                           |                60 |
| 7º Período | Optativa    | [413]          | OPEPL    | Programação Lógica                                                         |                60 |
| 7º Período | Optativa    | [413]          | OPEPPD   | Programação Paralela E Distribuída                                         |                60 |
| 7º Período | Optativa    | [413]          | OPERP    | Redes De Petri                                                             |                60 |
| 7º Período | Optativa    | [413]          | OPESM    | Sistemas Multiagentes                                                      |                60 |
| 7º Período | Optativa    | [413]          | OPETCD   | Tópicos Em Ciência De Dados                                                |                60 |
| 7º Período | Optativa    | [413]          | OPETDS   | Tecnologia Em Desenvolvimento De Sistemas                                  |                60 |
| 8º Período | Obrigatória | -              | CC8CG    | Computação Gráfica                                                         |                60 |
| 8º Período | Obrigatória | -              | TCC2     | Trabalho De Conclusão De Curso Ii                                          |                30 |
